article_id,periodical,periodical_label,issue_id,year,language,article_type,review_strategy,family,code,confidence,evidence_quote,evidence_quote_words,target,target_words,rationale,rationale_words
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,es,article,full,PED,PED_02,high,"pudo ser creador, citándose también que fue maestro de cantaores, siendo el más famoso de todos «El Fillo»",18,Tío Luis el de la Juliana and his transmission to later singers,12,The passage frames flamenco knowledge through master-disciple lineage and possible creation/transmission of cantes.,15
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,es,article,full,AUTH,AUTH_03,medium,"fue uno de los primeros grandes cantaores de la historia del flamenco... una letra por siguiriyas, que se ha transmitido de generación en generación",24,historic flamenco repertoire and early cantaores,6,"The passage grounds present flamenco value in origins, early figures, conserved styles, and intergenerational transmission.",15
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_04,high,"tenemos que aceptar la decisión del jurado, máxime cuando éste está representado por hombres de los que no dudamos de sus conocimientos en la materia",25,the guitar contest jury,4,The passage grants authority to the jury as knowledgeable experts whose decision should be accepted.,15
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_01,high,"Felicitamos a la Peña Flamenca «Los Cernícalos» por su organización perfecta, pese al final desagradable que tuvo la velada",19,Peña Flamenca Los Cernícalos and the contest conduct,8,The article explicitly praises the organization while criticizing the disruptive behavior at the event.,14
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,1979-09,1979,es,article,full,COMM,COMM_02,medium,"se perjudica al flamenco, que todo buen aficionado debe defender",10,good aficionados and flamenco community responsibility,6,The passage assigns the good aficionado a communal duty to defend flamenco and protect the field from harmful conduct.,19
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_01,high,María Vargas se limitó a decir unos cantes con más o menos acierto pero sin conectar con el público... su actuación... no pasó de ser aceptable.,26,performers at the Feria de San Lucas recitals,8,"The article repeatedly evaluates individual performances with explicit praise, criticism, and comparative judgments.",13
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_02,high,"A cada estilo le dio el tono preciso, imprimiendo el justo compás a los palos que expuso en su recital.",20,flamenco performance quality,3,"The review defines quality through flamenco criteria such as tone, compás, communication, voice, duende, and jondura.",16
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,1979-09,1979,es,article,full,AUTH,AUTH_01,high,Rafael Romero... nos dio el significado de lo que es el cante. ¡Qué maestría la suya para envolvernos en la más exacta pureza!,23,Rafael Romero's cante and proper flamenco expression,8,The passage presents a performance as revealing what cante is and attributes exemplary genuineness/purity to it.,17
1979-11-3-right-editorial,candil,Candil,1979-11,1979,es,editorial,full,AUTH,AUTH_01,high,"quienes establecen tales abstraciones se equivocan, desconocen la auténtica especificidad del cante",12,flamenco/cante as culturally specific to Andalucía,7,The editorial explicitly asserts an authentic specificity of cante and rejects readings that detach flamenco from the South.,18
1979-11-3-right-editorial,candil,Candil,1979-11,1979,es,editorial,full,AUTH,AUTH_03,high,"los sustratos ancentrales de Andalucía, sus elementos primigenios étnico-culturales han seguido existiendo, siguen existiendo y operando",17,flamenco as continuity of Andalusian cultural roots,7,"The passage grounds flamenco's value in ancestral substrata, origins, historical memory, transmission, and conservation of purity.",17
1979-11-3-right-editorial,candil,Candil,1979-11,1979,es,editorial,full,COMM,COMM_04,high,"el Flamenco se nos muestra como vector de un pueblo que, políticamente, fue destruido pero, culturalmente, no",17,the Andalusian people and flamenco as collective identity,8,The text frames flamenco through Andalusian national/community identity and makes it a sign of the people's cultural survival.,20
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,es,article,head_tail_windows,COMM,COMM_04,high,"hemos aceptado el reto de redescubrir nuestras raíces, retomar el hilo conductor de nuestra historia",15,Andalucía / el pueblo andaluz,4,"Frames cante and cultural recovery through Andalusian collective identity, roots, and historical self-recognition.",14
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,es,article,head_tail_windows,AUTH,AUTH_02,high,"llega envuelto en impurezas folklóricas, en tópicos y lugares comunes que las culturas alienantes han incentivado. Pero el manantial es pristino, fidedigno.",22,cante jondo / flamenco,3,"Draws a boundary between degraded folkloric impurities and a pristine, faithful source of flamenco meaning.",15
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,es,article,head_tail_windows,HERIT,HERIT_03,high,El flamenco es una forma de rememorar lo que muchos y durante mucho tiempo han intentado que olvidemos.,18,flamenco as Andalusian cultural memory,5,Presents flamenco as memory-work in a contested recovery of Andalusian culture and identity.,14
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,es,article,head_tail_windows,CRIT,CRIT_01,high,de aquí el fin conseguido plenamente en la obra,9,Félix Grande's book on flamenco,6,Explicitly evaluates the publication as successfully achieving its stated purpose.,10
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,es,article,head_tail_windows,PED,PED_02,medium,esa honda moral de la memoria que se transmite en el flamenco,12,flamenco memory,2,"Frames flamenco knowledge as transmitted through memory, with moral and cultural authority.",12
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,es,article,head_tail_windows,AUTH,AUTH_01,medium,"Que no perdamos la memoria, sólo desde ella podrá reconstruirse la única verdad del cante.",15,the truth of cante,4,"Claims that cante has a recoverable truth grounded in memory, making memory a basis for authentic understanding.",17
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,es,article,head_tail_windows,PED,PED_02,high,"Lo poco y lo mucho que del flamenco se sabe, lo hemos aprendido, fundamentalmente, por transmisión oral.",17,flamenco knowledge,2,Directly states that flamenco knowledge is learned primarily through oral transmission.,11
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,es,article,head_tail_windows,COMM,COMM_02,medium,"En los locales de la Peña Flamenca de Jaén, a diálogo abierto, sin moderadores ni sistemas",16,Peña Flamenca de Jaén / mesa redonda participants,7,Positions the peña and open tertulia as a social space where flamenco knowledge is discussed and mediated by aficionados.,19
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,es,article,head_tail_windows,AUTH,AUTH_03,medium,Las supervivencias tienen que encontrar asiento en esa nueva cosa que está ahí... llevar a cabo el mantenimiento de las costumbres y cultura andaluza.,24,flamenco and Andalusian customs,4,Frames cultural survival and continuity as necessary for maintaining Andalusian customs in modern conditions.,14
1979-11-11-right-elegia-para-el-descomp-s-y-otros,candil,Candil,1979-11,1979,es,article,full,AUTH,AUTH_04,medium,detrás del público ávido y resignado detrás de luces rufas y fulgurantes detrás de micrófonos baladrones... el cante escondido,19,"public, amplified flamenco setting",4,"Poetically contrasts public lights and microphones with a hidden cante, implying staged spectacle damages or obscures authentic flamenco.",18
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,es,article,full,CRIT,CRIT_04,medium,no es por otra razón distinta a la de prevenir alguna reacción que acuse de antiflamenquismo a nuestro autor,19,Rafael Porlán y Merlo's article,6,Uses flamencologist Ricardo Molina's authority to defend the author against a possible boundary-policing accusation.,16
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,es,article,full,AUTH,AUTH_02,high,"son más del alma del pueblo, ahora que lo flamenco ha de-generado en marchoso",15,degraded contemporary flamenco / marchoso flamenco,5,Draws an evaluative boundary between songs of the people's soul and a degraded form of flamenco.,17
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,es,article,full,HERIT,HERIT_03,medium,"quede la noticia de un andalucísimo cante coral, romántico, específicamente tabernario y con ritmo de habaneras. Un cante ya perdido",20,lost Andalusian tavern habanera cante,5,Preserves the memory of a lost communal cante and its disappearing social vocabulary.,13
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,1979-11,1979,es,article,full,CRIT,CRIT_01,medium,"Canalejas de Puerto Real, guardó siempre el fiel equilibrio de un hondo sentido profesional, junto al amplio conocimiento de un arte que dominaba.",23,Canalejas de Puerto Real,4,"The passage explicitly evaluates Canalejas's artistic quality through professionalism, depth, and mastery.",13
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,1979-11,1979,es,article,full,HERIT,HERIT_03,medium,"En ocasiones se siente la necesidad de ir al pasado para hacerlo, nuevamente, vivir. Y es posible, gracias a ese trozo de recuerdo hecho fotografía, disco antiguo o un viejo y amarillento recorte de periódico.",35,memory of Canalejas de Puerto Real and past flamenco performance,10,The article frames archival traces and remembrance as a way to make a past flamenco figure live again.,18
1979-11-14-right-quienes-fueron-los-maestros-fran,candil,Candil,1979-11,1979,es,article,full,CRIT,CRIT_03,high,"fue uno de los primeros maestros del cante flamenco, teniendo discípulos famosos como su sobrino Tomás «El Nitri».",18,Francisco Ortega Vargas «El Fillo»,5,The passage canonizes El Fillo as an early master and places him in a hierarchy of influential flamenco figures.,19
1979-11-14-right-quienes-fueron-los-maestros-fran,candil,Candil,1979-11,1979,es,article,full,PED,PED_02,high,"Respecto a las cabales, se cree que se han transmitido hasta nuestros días, tres creaciones de Francisco Ortega... Tomás «El Nitri», que seguramente fue su principal transmisor.",27,transmission of El Fillo's cabales and siguiriya styles,9,The passage explicitly frames flamenco repertoire as transmitted through named lineage figures across generations.,14
1979-11-14-right-quienes-fueron-los-maestros-fran,candil,Candil,1979-11,1979,es,article,full,AUTH,AUTH_03,medium,"De otros cantes de Francisco Ortega, uno de los que con más pureza ha llegado a nuestra época, ha sido la caña, transmitida por dos grandes maestros",27,the caña attributed to Francisco Ortega,6,The passage values a present repertory item through continuity from the past and its pure transmission by great masters.,19
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,es,article,full,CRIT,CRIT_01,high,"Diriamos que el trabajo es coherente. Hecho con sentido profesional, con intentos serios de configurar cada estilo según su conocimiento",20,Luis de Córdoba's album María del Amor,8,"The reviewer directly evaluates the recording as coherent, professional, and serious.",11
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,es,article,full,CRIT,CRIT_04,high,"En los jóvenes cantaores, generalmente predomina un sentir innovador cimentado no sabemos sobre qué bases de conocimiento y experiencia artística... todo hacer debe tener unas coordenadas que conlleven a una obra digna.",32,innovative tendencies among young cantaores,5,"The critic polices a boundary around proper innovation by requiring knowledge, experience, and dignified artistic coordinates.",16
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,es,article,full,AUTH,AUTH_03,medium,"conjugando tradición cantaora y nuevos aires flamencos... siendo fiel a lo aprendido, abriera su decir a unos cauces de mayor expresividad y comunicación.",23,Luis de Córdoba's interpretive development,6,The passage treats tradition and fidelity to learned knowledge as necessary grounding for legitimate contemporary expression.,16
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,es,article,full,PED,PED_02,medium,"según su conocimiento, asimilado —creemos—, en duras sesiones de aprendizaje, con conocedores profundos de lo que es el cante",19,Luis de Córdoba's knowledge of cante,7,The reviewer legitimates the artist's knowledge through apprenticeship-like learning with deep connoisseurs of cante.,16
1980-01-3-right-editorial,candil,Candil,1980-01,1980,es,editorial,full,HERIT,HERIT_03,high,Memoria para dignificar las viejas cicatrices y recuperar la historia nunca escrita del cante.,14,the unwritten history and memory of cante,7,The editorial frames cante as collective memory-work that recovers and dignifies a suppressed cultural past.,16
1980-01-3-right-editorial,candil,Candil,1980-01,1980,es,editorial,full,AUTH,AUTH_01,medium,"lo nuestro es el Candil: la luz diminuta sobre esta manifestación del misterio... Eso sí, luz con la autenticidad de la llama que es viva",25,Candil's relation to cante,5,The passage presents the magazine's illumination of cante as authentic through the metaphor of a living flame.,18
1980-01-3-right-editorial,candil,Candil,1980-01,1980,es,editorial,full,AUTH,AUTH_03,medium,la pequeña llamita que inmortalmente atraviesa la región y los siglos,11,cante as a continuing cultural manifestation across the South and across centuries,12,"The passage grounds the value of cante in continuity across place, region, and centuries.",14
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_04,high,"En varias ocasiones he tenido que decir a cantaores y aficionados que están equivocados; que no se trata de una malagueña, sino de una granaína.",25,"classification of granaína, malagueña, and related cantes",7,The speaker exercises expert corrective authority over singers and aficionados in classifying cantes.,13
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_03,medium,"Cantó por granaína y terminó con una media granaína tal y como LO DISPUSO don Antonio Chacón y por supuesto, tal y como le siguieron casi todos los cantaores de su época.",32,Antonio Chacón as model for granaína/media granaína,8,The passage invokes Chacón as a canonical model whose arrangement was followed by other singers.,15
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,es,article,head_tail_windows,PED,PED_03,medium,"hacer una recopilación de los cantes levantinos, con la intención de ponerlos a disposición de cualquier peña o entidad flamenca... Me gustaría que estos cantes fueran ampliamente difundidos",28,access to knowledge of cantes levantinos,6,The passage proposes mediated circulation of recordings to broaden access and remove confusion about cante distinctions.,16
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,es,article,head_tail_windows,PED,PED_01,medium,singular peña flamenca se enseña todos los días a cantar y bailar como mandan los cánones. ¡Qué bonita y fructifera labor!,21,daily teaching of singing and dancing in the peña,9,The passage legitimates the peña's teaching work as fruitful instruction according to recognized canons.,15
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,1980-01,1980,es,article,head_tail_windows,PED,PED_02,high,"las noticias del Martos de principios de siglo, salvo raras excepciones, las recibimos a través de la tradición oral",19,knowledge of Martos cafés cantantes,5,The passage explicitly frames local flamenco history as transmitted through oral tradition because written sources were destroyed.,17
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,1980-01,1980,es,article,head_tail_windows,HERIT,HERIT_03,medium,cuanto podía ser fuente de información veraz y fidedigna del pasado... fue destruido,13,lost historical memory of Martos and its cafés cantantes,9,The article treats destroyed archives and surviving memories as a problem of recovering and preserving local cultural history.,18
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_04,medium,historia que ni por asomo yo pensara que viera la luz impresa en una revista dedicada a fomentar el conocimiento y grandeza de los cantes de nuestra bendita Andalucía,29,Candil's publication of Martos flamenco history,7,The magazine is positioned as an authoritative mediator that brings local flamenco knowledge into print and promotes the value of Andalusian cantes.,22
1980-01-9-right-a-antonio-cuevas-el-piki-devorad,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_02,medium,el gemido sobrehumano continuaba brotando... hasta convertirse en una protesta viva,11,Antonio Cuevas «El Piki» singing por siguiriyas,7,"The passage interprets the quality and force of the singing through aesthetic criteria of gemido, protest, and expressive intensity.",19
1980-01-9-right-a-antonio-cuevas-el-piki-devorad,candil,Candil,1980-01,1980,es,article,head_tail_windows,COMM,COMM_04,medium,una protesta viva... de la gente humilde a la que no le sale ni una a derechas... sino su voz para quejarse,22,humble and marginalized people represented through siguiriyas,7,"The cante is framed as the voice and protest of an identified marginalized community, making social identity central to its meaning.",21
1980-01-12-right-la-saeta-de-ja-n,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_02,high,"Unas saetas hondas, tristes, sin barroquismos y por eso precisamente más conmovedoras.",12,the saetas of Jaén,4,"The passage defines the value of the Jaén saeta through aesthetic criteria of depth, sadness, austerity, and emotional force.",19
1980-01-12-right-la-saeta-de-ja-n,candil,Candil,1980-01,1980,es,article,full,HERIT,HERIT_03,medium,"Pero añoro aquella humilde saeta de Jaén, en labios de aceituneros",11,humble Jaén saeta sung by olive workers,7,"The article preserves and mourns the memory of a local, socially grounded saeta practice as a disappearing cultural form.",19
1980-01-12-right-la-saeta-de-ja-n,candil,Candil,1980-01,1980,es,article,full,AUTH,AUTH_04,medium,"En aquella Semana Santa humilde y sencilla de nuestro Jaén de principios de siglo, sin oropeles ni excesivo terciopelo",19,early twentieth-century Jaén saeta practice,6,"The passage values humble, intimate, unadorned local practice over ornate public display, linking setting and simplicity to flamenco-religious authenticity.",20
1980-01-13-left-alfredo-arrebola-embajador-flame,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_01,high,"unas sobrias, medidas y valientes interpretaciones —verdaderas oraciones— de diversos cantes de la mejor solera y prosapía flamenca",18,Alfredo Arrebola's Cádiz performance,5,"The article directly praises Arrebola's interpretations as sober, measured, brave, and rooted in strong flamenco lineage.",17
1980-01-13-left-alfredo-arrebola-embajador-flame,candil,Candil,1980-01,1980,es,article,full,PED,PED_03,high,dedicar especial atención a la introducción del cante flamenco y de sus motivaciones en los medios universitarios,17,Arrebola's university flamenco work,5,The passage frames Arrebola as expanding institutional access to flamenco knowledge in university settings.,14
1980-01-13-left-alfredo-arrebola-embajador-flame,candil,Candil,1980-01,1980,es,article,full,HERIT,HERIT_01,high,"esta manifestación única, verdadero tesoro universal y patrimonio artístico genuinamente andaluz, como es el cante flamenco",16,cante flamenco,2,The passage explicitly frames flamenco as universal treasure and genuinely Andalusian artistic heritage.,13
1980-01-13-left-alfredo-arrebola-embajador-flame,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_04,high,"un gran cantaor flamenco y a un erudito conocedor... que le distingue netamente de tanto «flamencólogo» estereotipado, diletante y sabihondo",20,Arrebola versus stereotyped flamencologists,4,The article grants Arrebola expert authority while policing a boundary against shallow or false flamencological expertise.,16
1980-01-13-right-quienes-fueron-los-maestros,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_03,medium,"El siguiente gran maestro a Francisco Ortega «El Fillo», es su sobrino Tomás «El Nitri»",15,Tomás «El Nitri»,3,"The passage places Nitri in a hierarchy of major flamenco masters, constructing canonical status rather than merely naming him.",19
1980-01-13-right-quienes-fueron-los-maestros,candil,Candil,1980-01,1980,es,article,head_tail_windows,CRIT,CRIT_01,high,"Silverio Franconetti, indudablemente cantaor genial, conoció y dominó todos los cantes, y su orientación y actividad fueron decisivos en el desarrollo histórico del cante flamenco.",25,Silverio Franconetti,2,The passage explicitly evaluates Silverio as a brilliant singer whose mastery and historical influence were decisive.,16
1980-01-13-right-quienes-fueron-los-maestros,candil,Candil,1980-01,1980,es,article,head_tail_windows,AUTH,AUTH_03,medium,habían llegado hasta nuestros días algunos de estos cantes a través de grabaciones realizadas por discípulos suyos,17,cantes associated with Silverio Franconetti,5,The passage values continuity by explaining how cantes survived into the present through recordings by disciples.,16
1980-01-14-right-flamenca,candil,Candil,1980-01,1980,es,article,full,AUTH,AUTH_04,high,"Está visto que solo interesa vender para la mayoría que es mucha, claro.",13,record companies and commercial flamenco production,6,The passage frames mass sales and commercial motives as displacing serious engagement with Arte Jondo.,15
1980-01-14-right-flamenca,candil,Candil,1980-01,1980,es,article,full,AUTH,AUTH_02,high,están muy lejos de nscribirse en la pureza de unos estilos que configuran el frondoso árbol del cante,18,commercial recordings modeled on Lole y Manuel,7,The passage draws a purity boundary by placing commercially oriented flamenco far from the pure styles of cante.,18
1980-01-14-right-flamenca,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_04,high,"Entonces la comercialidad se impone, y adios profesionalidad, conocimientos y deseos de seguir una trayectoria presidida por el Arte.",19,commercial flamenco recordings and artists who follow commercial ease,9,The reviewer uses critical authority to police the boundary between art-led flamenco professionalism and superficial commercial production.,18
1980-01-15-right-juan-a-ib-nez-miembro-de-la-c-te,candil,Candil,1980-01,1980,es,article,full,HERIT,HERIT_02,medium,Ha sido concedido el primer premio de la 1.ª Bienal de Arte Flamenco para libros de ensayo sobre el Flamenco,21,Manuel Urbano's flamenco scholarship,5,An official cultural prize is presented as an institutional recognition mechanism that valorizes flamenco scholarship.,15
1980-01-15-right-juan-a-ib-nez-miembro-de-la-c-te,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_03,high,Manolo Urbano es uno de los valores más importantes dentro de ese movimiento de intelectuales que tratan de acercarse y profundizar en el Flamenco,24,Manuel Urbano,2,The passage ranks Urbano among the most important intellectual figures studying flamenco.,12
1980-01-15-right-juan-a-ib-nez-miembro-de-la-c-te,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_04,medium,"desde perspectivas sociológicas, políticas, antropológicas... Toda una serie de áreas insuficientemente estudiadas o a las que se le han aplicado tratamientos poco rigurosos.",23,intellectual approaches to flamenco,4,The text authorizes rigorous scholarly approaches to flamenco by contrasting them with insufficiently studied or poorly treated areas.,18
1980-01-16-left-fernando-montoro-en-el-club-cult,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_04,high,"Fernando Montoro, profundo conocedor del cante andaluz, se extendería en los orígenes del vocablo «flamenco» - ¿gitano?, ¿árabe? - y acertaría, en nuestra opinión, al tomar la letra de los cantes para esbozar una clasificación temática",34,Fernando Montoro's classification of flamenco/cante,7,Montoro is positioned as a knowledgeable authority whose classificatory approach is explicitly endorsed by the writer.,16
1980-01-16-left-fernando-montoro-en-el-club-cult,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_03,medium,no caer en la manida y subjetiva división de los «grandes» y «chicos»,13,the hierarchy between grandes and chicos cantes,7,The passage critiques an established evaluative hierarchy of cantes and favors an alternative thematic classification.,15
1980-01-16-left-fernando-montoro-en-el-club-cult,candil,Candil,1980-01,1980,es,article,full,CRIT,CRIT_01,medium,Pero bastaron media docena de cantes para dejar ese regustillo andaluz en cuantos escuchamos la voz fuerte y apurada de Meneses,21,José Meneses's performance,4,The passage evaluates Meneses's shortened appearance positively through its effect on listeners and his vocal qualities.,17
1980-03-4-right-donde-dios-era-undeb,candil,Candil,1980-03,1980,es,article,head_tail_windows,AUTH,AUTH_01,high,El flamenco como expresión genuina de la cultura de este pueblo,11,flamenco,1,The passage explicitly presents flamenco as a genuine expression of the people's culture.,14
1980-03-4-right-donde-dios-era-undeb,candil,Candil,1980-03,1980,es,article,head_tail_windows,AUTH,AUTH_03,high,"el cante jondo, en la manera aproximada en que históricamente se conoce, comienza a nuclearse y configurarse a partir de la expulsión de los moriscos y del quebrantamiento de fondo racial autóctono andaluz",33,cante jondo,2,The passage grounds the formation and meaning of cante jondo in historical origins and rooted Andalusian continuity.,17
1980-03-4-right-donde-dios-era-undeb,candil,Candil,1980-03,1980,es,article,head_tail_windows,COMM,COMM_04,high,"las referencias a Dios estuviesen mediatizadas por el credo oficial que, a fuego, se les imponía a los herejes",19,religious references in flamenco lyrics and oppressed Andalusian communities,9,"The passage frames flamenco meaning through identity groups and power relations between dominated communities, official religion, and victorious authorities.",19
1980-03-4-right-donde-dios-era-undeb,candil,Candil,1980-03,1980,es,article,head_tail_windows,CRIT,CRIT_04,medium,Muchos estudiosos no han captado esta realidad en Andalucía.,9,scholarly interpretations of cante jondo,5,The author contests prior scholarly interpretation and asserts an expert right to define cante jondo as a complex cultural synthesis.,20
1980-03-7-right-una-teoria-regeneracionista-y-ar,candil,Candil,1980-03,1980,es,article,head_tail_windows,CRIT,CRIT_01,high,"queda claro que Blas Infante explica de modo suficiente, y en no pocos capítulos exhaustivamente, y con auténtico rigor",19,Blas Infante's book/theory on flamenco and cante jondo,10,The review explicitly evaluates the book's explanatory force and scholarly rigor.,12
1980-03-7-right-una-teoria-regeneracionista-y-ar,candil,Candil,1980-03,1980,es,article,head_tail_windows,HERIT,HERIT_01,high,"Felicitémonos todos por el rescate de este libro, ya primonio insustituible de la cultura de Andalucía.",16,Blas Infante's recovered book,5,The passage frames the rescued book as irreplaceable patrimony of Andalusian culture.,12
