article_id,periodical,periodical_label,title,issue_id,year,language,article_type,review_text_chars,review_strategy,n_trigger_windows,retrieval_hint_codes,packet_id,packet_article_position,no_relevant_discourse,insufficient_context,n_codes,n_possible,code_families_emitted,codes_emitted,legitimation_effect_present,polarity,basis_tags,n_basis_tags,derived_target,exclusion_boundary_present,right_to_define_present,annotation_notes,annotation_notes_words,source_result_file
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,El Cante Jondo en la recuperación de la cultura andaluzia,1979-11,1979,es,article,3312,head_tail_windows,1,PED_02,chat_packet_003,1,False,False,3,0,AUTH|COMM|HERIT,AUTH_02|COMM_04|HERIT_03,True,mixed,community|authenticity|heritage,3,flamenco as a vehicle for recovering Andalusian culture,True,True,Article is truncated; codes are based only on visible beginning/window/ending text.,13,chat_packet_003_results.json
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,La inmensa memoria flamenca de Félix Grande),1979-11,1979,es,article,3071,head_tail_windows,1,AUTH_04,chat_packet_003,2,False,False,3,1,AUTH|CRIT|PED,AUTH_01|CRIT_01|PED_02,True,legitimating,criticism|pedagogy|authenticity,3,Félix Grande's book and flamenco memory,False,True,Article is truncated; codes are based only on visible beginning/window/ending text.,13,chat_packet_003_results.json
1979-11-8-right-cantar-y-pensar,candil,Candil,Cantar y pensar,1979-11,1979,es,article,3357,head_tail_windows,1,COMM_02,chat_packet_003,3,False,False,3,0,AUTH|COMM|PED,AUTH_03|COMM_02|PED_02,True,mixed,pedagogy|community|tradition,3,flamenco knowledge and Andalusian cultural continuity,False,False,Article is truncated; codes are based only on visible beginning/window/ending text.,13,chat_packet_003_results.json
1979-11-11-right-elegia-para-el-descomp-s-y-otros,candil,Candil,Elegía para el descompás y otros estremecimientos,1979-11,1979,es,article,902,full,0,,chat_packet_003,4,False,False,1,1,AUTH,AUTH_04,True,delegitimating,authenticity,1,spectacular/public mediation of cante,True,False,Poetic text; only the clearest authenticity/spectacle contrast is emitted.,10,chat_packet_003_results.json
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,Unas viejas habaneras sevillanas,1979-11,1979,es,article,4279,full,0,,chat_packet_003,5,False,False,3,1,AUTH|CRIT|HERIT,AUTH_02|CRIT_04|HERIT_03,True,mixed,criticism|authenticity|heritage,3,old Sevillian habanera songs and degraded flamenco,True,True,,0,chat_packet_003_results.json
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,Jaén en el Cante. Canalejas de Puerto Real,1979-11,1979,es,article,2679,full,0,,chat_packet_004,1,False,False,2,2,CRIT|HERIT,CRIT_01|HERIT_03,True,legitimating,criticism|heritage,2,Canalejas de Puerto Real,False,False,Memorial profile with moderate evaluative and memory-work discourse.,9,chat_packet_004_results.json
1979-11-14-right-quienes-fueron-los-maestros-fran,candil,Candil,Quienes fueron los maestros. Francisco Ortega Vargas «El Fillo»,1979-11,1979,es,article,3702,full,0,,chat_packet_004,2,False,False,3,1,AUTH|CRIT|PED,AUTH_03|CRIT_03|PED_02,True,legitimating,tradition|pedagogy|criticism,3,El Fillo and his transmitted cantes,False,False,Strong canon-and-lineage article; codes kept to the clearest master/transmission claims.,13,chat_packet_004_results.json
1979-11-15-right-discograf-a-flamenca,candil,Candil,Discografía flamenca,1979-11,1979,es,article,4689,full,0,,chat_packet_004,3,False,False,4,2,AUTH|CRIT|PED,AUTH_03|CRIT_01|CRIT_04|PED_02,True,mixed,criticism|tradition|pedagogy,3,reviewed flamenco recordings and young cantaores,True,True,Dense review discourse; includes praise for one recording and critical boundary-setting around innovation in another.,16,chat_packet_004_results.json
1980-01-3-right-editorial,candil,Candil,Editorial,1980-01,1980,es,editorial,2061,full,0,,chat_packet_004,4,False,False,3,1,AUTH|HERIT,AUTH_01|AUTH_03|HERIT_03,True,legitimating,heritage|authenticity|tradition,3,cante and Candil's memory project,False,True,"Editorial is strongly memorial and legitimating, with authenticity expressed through metaphor rather than direct technical judgment.",16,chat_packet_004_results.json
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,A nadie se le puede sustraer lo que no posee,1980-01,1980,es,article,3076,head_tail_windows,1,CRIT_03,chat_packet_004,5,False,False,4,2,CRIT|PED,CRIT_03|CRIT_04|PED_01|PED_03,True,contested,criticism|pedagogy,2,classification and dissemination of Levantine cantes,True,True,"Truncated article, but visible excerpt is sufficient for expert classification and pedagogical access codes.",14,chat_packet_004_results.json
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,Martos en la geografía de los Cafés Cantantes,1980-01,1980,es,article,2750,head_tail_windows,1,CRIT_03,chat_packet_005,1,False,False,3,2,CRIT|HERIT|PED,CRIT_04|HERIT_03|PED_02,True,legitimating,pedagogy|heritage|criticism,3,Martos cafés cantantes as recoverable Andalusian flamenco history,False,True,Article is truncated; codes are based only on visible beginning/window/ending text.,13,chat_packet_005_results.json
1980-01-8-right-quejio,candil,Candil,Quejio,1980-01,1980,es,article,931,full,0,,chat_packet_005,2,True,False,0,2,,,False,neutral,,0,,False,False,Poetic text with strong imagery but no clearly codable discourse function under the conservative rules.,15,chat_packet_005_results.json
1980-01-9-right-a-antonio-cuevas-el-piki-devorad,candil,Candil,"A Antonio Cuevas, «El Piki», devorado por el tiempo de repente",1980-01,1980,es,article,3323,head_tail_windows,1,CRIT_01,chat_packet_005,3,False,False,2,2,COMM|CRIT,COMM_04|CRIT_02,True,legitimating,criticism|community,2,El Piki's siguiriyas as expressive protest of marginality,False,False,Article is truncated; codes are based only on visible beginning/window/ending text.,13,chat_packet_005_results.json
1980-01-12-right-la-saeta-de-ja-n,candil,Candil,La «Saeta» de Jaén,1980-01,1980,es,article,2740,full,0,,chat_packet_005,4,False,False,3,2,AUTH|CRIT|HERIT,AUTH_04|CRIT_02|HERIT_03,True,mixed,criticism|heritage|authenticity,3,the old humble saeta of Jaén,True,False,,0,chat_packet_005_results.json
1980-01-13-left-alfredo-arrebola-embajador-flame,candil,Candil,"Alfredo Arrebola, embajador flamenco en los medios universitarios de Cádiz",1980-01,1980,es,article,4510,full,0,,chat_packet_005,5,False,False,4,3,CRIT|HERIT|PED,CRIT_01|CRIT_04|HERIT_01|PED_03,True,legitimating,criticism|pedagogy|heritage,3,Alfredo Arrebola and university mediation of flamenco,True,True,,0,chat_packet_005_results.json
1980-01-13-right-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros,1980-01,1980,es,article,2671,head_tail_windows,1,CRIT_04,chat_packet_006,1,False,False,3,2,AUTH|CRIT,AUTH_03|CRIT_01|CRIT_03,True,legitimating,criticism|tradition,2,"Tomás «El Nitri», Silverio Franconetti, and the continuity of associated cantes",False,False,"Article text is truncated, but the visible evaluative and continuity claims are sufficient for the emitted codes.",17,chat_packet_006_results.json
1980-01-14-right-flamenca,candil,Candil,Discografía flamenca,1980-01,1980,es,article,2421,full,0,,chat_packet_006,2,False,False,3,2,AUTH|CRIT,AUTH_02|AUTH_04|CRIT_04,True,delegitimating,authenticity|criticism,2,commercialized flamenco discography,True,True,,0,chat_packet_006_results.json
1980-01-15-right-juan-a-ib-nez-miembro-de-la-c-te,candil,Candil,"Juan A. Ibáñez, miembro de la Cátedra de Flamencología de Jerez",1980-01,1980,es,article,2030,full,0,,chat_packet_006,3,False,False,3,1,CRIT|HERIT,CRIT_03|CRIT_04|HERIT_02,True,legitimating,heritage|criticism,2,"Manuel Urbano, Juan Antonio Ibáñez, and institutional flamenco scholarship",False,True,,0,chat_packet_006_results.json
1980-01-16-left-fernando-montoro-en-el-club-cult,candil,Candil,"Fernando Montoro, en el Club Cultural Altura",1980-01,1980,es,article,2521,full,0,,chat_packet_006,4,False,False,3,2,CRIT,CRIT_01|CRIT_03|CRIT_04,True,mixed,criticism,1,Montoro's classification and Meneses's performance,False,True,,0,chat_packet_006_results.json
1980-03-4-right-donde-dios-era-undeb,candil,Candil,Donde Dios era «UNDEBÉ»,1980-03,1980,es,article,3598,head_tail_windows,1,COMM_01,chat_packet_006,5,False,False,4,2,AUTH|COMM|CRIT,AUTH_01|AUTH_03|COMM_04|CRIT_04,True,contested,authenticity|tradition|community|criticism,4,"cante jondo as a genuine, historically rooted cultural synthesis",True,True,"Article text is truncated, but the visible theoretical claims are sufficiently explicit for the emitted codes.",16,chat_packet_006_results.json
1980-03-7-right-una-teoria-regeneracionista-y-ar,candil,Candil,UNA TEORIA REGENERACIONISTA Y ARABIGO-ANDALUZA DEL CANTE FLAMENCO,1980-03,1980,es,article,3127,head_tail_windows,1,PED_03,chat_packet_007,1,False,False,3,2,CRIT|HERIT,CRIT_01|CRIT_04|HERIT_01,True,legitimating,criticism|heritage,2,Blas Infante's recovered flamenco book and its scholarly value,False,True,"Article is truncated, but the visible excerpt provides enough evidence for evaluation, heritage framing, and expert-documentary authorization.",18,chat_packet_007_results.json
1980-03-10-right-a-camar-n-de-la-isla,candil,Candil,A Camarón de la Isla,1980-03,1980,es,article,471,full,0,,chat_packet_007,2,True,False,0,2,,,False,neutral,,0,,False,False,Short poetic homage; no stable code emitted.,7,chat_packet_007_results.json
1980-03-11-right-di-logos-con-manuel-oliv,candil,Candil,Diálogos con Manuel Olivé,1980-03,1980,es,article,2869,head_tail_windows,1,PED_02,chat_packet_007,3,False,False,3,2,COMM|CRIT,COMM_01|CRIT_01|CRIT_02,True,mixed,criticism|community,2,"soleá performance, valued singers, and Triana as a flamenco community",True,True,"Article is truncated, but the visible interview excerpt contains direct evaluative and boundary-making discourse.",15,chat_packet_007_results.json
1980-03-12-right-la-verdad-sobre-rita-la-cantaora,candil,Candil,La verdad sobre Rita la Cantaora,1980-03,1980,es,article,3610,head_tail_windows,2,"COMM_02, COMM_04",chat_packet_007,4,False,False,3,2,COMM|CRIT,COMM_02|CRIT_01|CRIT_04,True,contested,criticism|community,2,Rita la Cantaora's biography and the authority to write flamenco history,False,True,"Article is truncated, but the visible excerpt clearly contests unsupported flamencological writing.",12,chat_packet_007_results.json
1980-03-13-right-pueblo-y-pol-tica-en-el-cante-jo,candil,Candil,Pueblo y política en el cante jondo,1980-03,1980,es,article,3060,full,0,,chat_packet_007,5,False,False,3,3,AUTH|COMM|CRIT,AUTH_01|COMM_04|CRIT_03,True,legitimating,community|authenticity|criticism,3,cante jondo as political-cultural expression of the Andalusian people and Urbano's book as a scholarly milestone,False,True,,0,chat_packet_007_results.json
1980-03-14-left-una-revista-flamenca-sevilla-fla,candil,Candil,Una revista flamenca. Sevilla Flamenca,1980-03,1980,es,article,3912,full,0,,chat_packet_008,1,False,False,3,2,COMM|CRIT|PED,COMM_02|CRIT_01|PED_03,True,mixed,criticism|pedagogy|community,3,«Sevilla Flamenca» as a peña-based flamenco periodical,False,True,,0,chat_packet_008_results.json
1980-03-15-left-pepe-de-la-matrona-ya-en-la-memo,candil,Candil,"Pepe de la Matrona, ya en la Memoria",1980-03,1980,es,article,3619,full,0,,chat_packet_008,2,False,False,3,2,AUTH|CRIT,AUTH_02|CRIT_02|CRIT_03,True,legitimating,authenticity|criticism|tradition,3,Pepe de la Matrona and his cante,True,False,,0,chat_packet_008_results.json
1980-03-15-right-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros...,1980-03,1980,es,article,1936,full,0,,chat_packet_008,3,False,False,2,2,AUTH|CRIT,AUTH_03|CRIT_03,True,legitimating,criticism|tradition,2,Manuel Cagancho and selected historical flamenco interpreters,False,True,,0,chat_packet_008_results.json
1980-03-16-left-enrique-el-mellizo,candil,Candil,ENRIQUE • EL MELLIZO.,1980-03,1980,es,article,2820,full,0,,chat_packet_008,4,False,False,3,2,CRIT|PED,CRIT_02|CRIT_03|PED_02,True,legitimating,criticism|pedagogy|tradition,3,Enrique el Mellizo and his school of cante,False,True,,0,chat_packet_008_results.json
1980-05-4-right-los-festivales-flamencos,candil,Candil,Los Festivales Flamencos,1980-05,1980,es,article,3597,head_tail_windows,1,CRIT_01,chat_packet_008,5,False,False,3,2,AUTH|CRIT,AUTH_02|AUTH_04|CRIT_04,True,delegitimating,authenticity|criticism,2,contemporary flamenco festivals and public spectacular diffusion,True,True,"Article is truncated, but the visible excerpt contains sufficient explicit boundary and evaluative discourse for coding.",16,chat_packet_008_results.json
1980-05-6-right-viejas-p-ginas-flamencas,candil,Candil,Viejas páginas flamencas,1980-05,1980,es,article,4447,head_tail_windows,2,"PED_03, PED_02",chat_packet_009,1,False,False,3,1,AUTH|CRIT|HERIT,AUTH_03|CRIT_01|HERIT_03,True,legitimating,heritage|tradition|criticism,3,baile andaluz and recovered flamenco documents,False,False,Truncated article; coded only visible editorial framing and quoted Ricardo León excerpt.,12,chat_packet_009_results.json
1980-05-8-right-los-cafes-cantantes-de-madrid,candil,Candil,LOS CAFES CANTANTES DE MADRID,1980-05,1980,es,article,3325,full,0,,chat_packet_009,2,False,False,2,0,CRIT,CRIT_01|CRIT_04,True,legitimating,criticism,1,documentary scholarship on Madrid cafés cantantes,False,True,,0,chat_packet_009_results.json
1980-05-9-left-tres-instantes-flamencos,candil,Candil,Tres instantes flamencos,1980-05,1980,es,article,3615,full,0,,chat_packet_009,3,False,False,2,1,COMM|CRIT,COMM_01|CRIT_01,True,legitimating,criticism|community,2,flamenco artists and the Caripén gathering,True,False,Poetic register; only relatively explicit praise and belonging language coded.,10,chat_packet_009_results.json
1980-05-10-right-joselero,candil,Candil,Joselero,1980-05,1980,es,article,3052,head_tail_windows,1,PED_02,chat_packet_009,4,False,False,3,1,AUTH|COMM,AUTH_01|AUTH_02|COMM_04,True,mixed,authenticity|community,2,innate cante and gendered dance style,True,True,Truncated interview; coded only visible statements.,6,chat_packet_009_results.json
1980-05-12-right-aunque-no-quepa-en-el-papel-a-pr,candil,Candil,Aunque no quepa en el papel. A propósito de la reedición de Los Zincali,1980-05,1980,es,article,4157,head_tail_windows,2,"PED_02, COMM_04",chat_packet_009,5,False,False,3,2,CRIT,CRIT_01|CRIT_04,True,contested,criticism,1,flamenco bibliography and Borrow's testimony,False,True,Truncated article; the two CRIT_04 codes address distinct targets: flamenco commentators and Borrow's account.,15,chat_packet_009_results.json
1980-05-15-left-flamenca,candil,Candil,Flamenca,1980-05,1980,es,article,2290,full,0,,chat_packet_010,1,False,False,3,1,CRIT,CRIT_01|CRIT_02,True,mixed,criticism,1,"recent flamenco recordings by Luis de Córdoba, El Cabrero, and El Turronero",False,False,,0,chat_packet_010_results.json
1980-05-15-right-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros...,1980-05,1980,es,article,4605,full,0,,chat_packet_010,2,False,False,4,1,CRIT|PED,CRIT_02|CRIT_03|PED_02,True,legitimating,criticism|pedagogy,2,"Juan Breva, Mercedes La Serneta, and their cantes",False,False,,0,chat_packet_010_results.json
1980-07-3-right-editorial,candil,Candil,Editorial,1980-07,1980,es,editorial,1571,full,0,,chat_packet_010,3,False,False,3,1,AUTH|HERIT,AUTH_02|AUTH_03|HERIT_03,True,legitimating,authenticity|tradition|heritage,3,flamenco as historical legacy,True,False,,0,chat_packet_010_results.json
1980-07-4-right-el-sentido-intrascendental-de-la,candil,Candil,El sentido intrascendental de la temática religiosa en el cante flamenco,1980-07,1980,es,article,3746,head_tail_windows,2,"PED_03, COMM_04",chat_packet_010,4,False,False,3,1,COMM|CRIT,COMM_04|CRIT_01|CRIT_04,True,contested,criticism|community,2,the religious meaning of flamenco lyrics,False,True,,0,chat_packet_010_results.json
1980-07-6-right-ante-la-situaci-n-de-los-flamenc,candil,Candil,Ante la situación de los flamencos de la Tercera Edad,1980-07,1980,es,article,3485,head_tail_windows,1,PED_02,chat_packet_010,5,False,False,3,1,CRIT|HERIT,CRIT_03|HERIT_02|HERIT_03,True,legitimating,heritage|criticism,2,elderly flamenco artists and institutional responsibility toward them,False,False,"Although the article is truncated, the visible excerpt provides sufficient evidence for the emitted codes.",15,chat_packet_010_results.json
1980-07-8-right-a-prop-sito-del-viii-congreso-de,candil,Candil,A propósito del VIII Congreso de A. Flamencas,1980-07,1980,es,article,3455,full,0,,chat_packet_011,1,False,False,3,1,AUTH|COMM|CRIT,AUTH_02|COMM_02|CRIT_01,True,mixed,authenticity|community|criticism,3,the congress as a site for aficionado encounter and debated purity claims,True,True,,0,chat_packet_011_results.json
1980-07-9-left-las-letras-flamencas-de,candil,Candil,Las letras flamencas de Francisco Vélez Nieto,1980-07,1980,es,article,2581,full,0,,chat_packet_011,2,False,False,1,2,CRIT,CRIT_01,True,legitimating,criticism,1,the published lyrics as flamenco-inflected poetry,False,False,,0,chat_packet_011_results.json
1980-07-10-right-aunque-no-quepa-en-el-papel,candil,Candil,Aunque no quepa en el papel,1980-07,1980,es,article,3180,head_tail_windows,1,CRIT_03,chat_packet_011,3,False,False,2,2,CRIT,CRIT_01|CRIT_04,True,delegitimating,criticism,1,magical and pseudo-erudite histories of flamenco,True,True,"Article text is truncated, but the visible excerpt contains sufficient evidence for the emitted critical codes.",16,chat_packet_011_results.json
1980-07-12-right-manuel-vallejo-o-el-ruise-or-fla,candil,Candil,Manuel Vallejo o el ruiseño flamenco,1980-07,1980,es,article,2951,head_tail_windows,1,COMM_02,chat_packet_011,4,False,False,3,2,COMM|CRIT,COMM_02|CRIT_01|CRIT_03,True,legitimating,criticism|community,2,Manuel Vallejo's artistic and commemorative authority,False,True,"Article text is truncated, but the visible excerpt contains sufficient evidence for the emitted codes.",15,chat_packet_011_results.json
1980-07-13-right-noticia-de-los-caf-s-cantantes-c,candil,Candil,Noticia de los cafés - cantantes Carolinenses,1980-07,1980,es,article,5271,full,0,,chat_packet_011,5,False,False,2,3,COMM|CRIT,COMM_04|CRIT_03,True,legitimating,criticism|community,2,La Carolina's café cantante history and local flamenco communities,False,False,,0,chat_packet_011_results.json
1980-07-14-right-carta-a-pastora-pav-n-i-ina-de-l,candil,Candil,Carta a Pastora Pavón (Iñina de los Peines),1980-07,1980,es,article,2872,full,0,,chat_packet_012,1,False,False,3,2,AUTH|CRIT,AUTH_03|AUTH_04|CRIT_02,True,mixed,authenticity|tradition|criticism,3,"cante that remains close to lived memory, pain, and ancestral voices, against staged entertainment cante",True,False,,0,chat_packet_012_results.json
1980-07-15-left-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros,1980-07,1980,es,article,5553,full,0,,chat_packet_012,2,False,False,3,2,AUTH|CRIT|PED,AUTH_03|CRIT_03|PED_02,True,legitimating,tradition|pedagogy|criticism,3,historic flamenco masters and their transmitted cantes,False,False,,0,chat_packet_012_results.json
1980-07-16-left-flamenca,candil,Candil,Discografía Flamenca,1980-07,1980,es,article,3026,full,0,,chat_packet_012,3,False,False,4,2,AUTH|COMM|CRIT,AUTH_02|AUTH_04|COMM_02|CRIT_01,True,mixed,criticism|authenticity|community,3,"a better flamenco recording culture rooted in pure, knowledgeable practice",True,False,,0,chat_packet_012_results.json
1980-09-3-right-editorial,candil,Candil,Editorial,1980-09,1980,es,editorial,1705,full,0,,chat_packet_012,4,False,False,4,1,COMM|HERIT,COMM_04|HERIT_01|HERIT_02|HERIT_03,True,mixed,heritage|community|criticism,3,Candil's flamenco dissemination work and flamenco as living culture,False,True,,0,chat_packet_012_results.json
1980-09-4-right-seguridad-social-para-los-artist,candil,Candil,SEGURIDAD SOCIAL PARA LOS ARTISTAS FLAMENCOS,1980-09,1980,es,article,3639,head_tail_windows,1,PED_02,chat_packet_012,5,False,False,1,3,CRIT,CRIT_01,True,delegitimating,criticism,1,incoherent and incomplete institutional/action follow-through on flamenco artists' welfare,False,False,Article is truncated; annotation is limited to the visible legal-social excerpt.,12,chat_packet_012_results.json
1980-09-6-right-a-prop-sito-de-un-juicio-progre-,candil,Candil,A propósito de un juicio «progre» sobre el flamenco,1980-09,1980,es,article,3158,head_tail_windows,1,COMM_01,chat_packet_013,1,False,False,3,1,AUTH|COMM|CRIT,AUTH_01|COMM_04|CRIT_04,True,contested,authenticity|community|criticism,3,valid flamenco and external journalistic interpretations of it,True,True,"Truncated article; annotations are limited to the visible beginning, selected window, and ending.",13,chat_packet_013_results.json
1980-09-7-right-las-letras-flamencas-de-joaquin-,candil,Candil,LAS LETRAS FLAMENCAS DE JOAQUIN MARQUEZ,1980-09,1980,es,article,1479,full,0,,chat_packet_013,2,False,False,2,0,AUTH|CRIT,AUTH_01|CRIT_01,True,legitimating,authenticity|criticism,2,Joaquín Márquez's flamenco lyrics,False,False,,0,chat_packet_013_results.json
1980-09-8-right-antonio-n-ez-el-chocolate,candil,Candil,"Antonio Núñez ""El Chocolate""",1980-09,1980,es,article,3945,head_tail_windows,2,"COMM_02, CRIT_03",chat_packet_013,3,False,False,3,1,COMM|CRIT|PED,COMM_02|CRIT_03|PED_01,True,legitimating,pedagogy|community|criticism,3,"flamenco knowledge, private artist circles, and canonical singers",True,True,"Truncated article; annotations are limited to the visible beginning, selected windows, and ending.",13,chat_packet_013_results.json
1980-09-10-left-algo-m-s-sobre-los-cantes-de-lev,candil,Candil,Algo más sobre los Cantes de Levante,1980-09,1980,es,article,2693,full,0,,chat_packet_013,4,False,False,3,1,AUTH|PED,AUTH_02|AUTH_03|PED_01,True,legitimating,pedagogy|authenticity|tradition,3,historical and origin-based understanding of Levante cantes,True,True,,0,chat_packet_013_results.json
1980-09-10-right-taranta-cl-sica-taranto-y-tarant,candil,Candil,"Taranta clásica, Taranto y Taranta Minera",1980-09,1980,es,article,979,full,0,,chat_packet_013,5,False,False,2,1,HERIT|PED,HERIT_03|PED_03,True,legitimating,heritage|pedagogy,2,historical Levante cantes,False,True,The article is short but sufficient for limited annotation.,9,chat_packet_013_results.json
1980-09-12-right-la-garganta-en-el-cante-es-un-ri,candil,Candil,LA GARGANTA EN EL CANTE ES UN RITMO DE PIEDRA,1980-09,1980,es,article,927,full,0,,chat_packet_014,1,False,False,1,1,CRIT,CRIT_02,True,legitimating,criticism,1,cante as bodily expressive force,False,False,Poetic definition rather than review; one medium-confidence aesthetic criterion code only.,12,chat_packet_014_results.json
1980-09-13-left-los-viejos-conservadores-y-las-b,candil,Candil,Los viejos conservadores y las bulerías,1980-09,1980,es,article,2732,head_tail_windows,1,AUTH_02,chat_packet_014,2,False,False,4,1,AUTH|COMM,AUTH_02|AUTH_03|COMM_02|COMM_04,True,contested,authenticity|tradition|community,3,claims about conserved purity and racial guardianship of flamenco,True,True,Visible excerpt contains both the theory being reported and the author's rejection of it; polarity is therefore contested.,19,chat_packet_014_results.json
1980-09-14-right-aunque-no-quepa-en-el-papel,candil,Candil,Aunque no quepa en el papel,1980-09,1980,es,article,4880,head_tail_windows,2,"CRIT_01, PED_03",chat_packet_014,3,False,False,3,1,COMM|CRIT,COMM_04|CRIT_01|CRIT_04,True,contested,criticism|community,2,gitanismo/gitanista interpretations of cante,True,True,"Codes focus on the visible review's critical and identity-boundary discourse, not on the full book.",17,chat_packet_014_results.json
1980-09-15-right-julio-romero-de-torres-y-la-copl,candil,Candil,Julio Romero de Torres y la copla,1980-09,1980,es,article,3887,full,0,,chat_packet_014,4,False,False,3,1,CRIT,CRIT_01|CRIT_02|CRIT_03,True,legitimating,criticism,1,Romero de Torres as a major interpreter of cante jondo/copla,False,False,,0,chat_packet_014_results.json
1980-09-16-right-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros,1980-09,1980,es,article,5906,full,0,,chat_packet_014,5,False,False,4,1,CRIT|PED,CRIT_01|CRIT_03|CRIT_04|PED_02,True,mixed,pedagogy|criticism,2,Don Antonio Chacón's artistic and historical status,False,True,The article is strongly canonizing but includes a visible expert critique of Chacón's theatrical/social project.,17,chat_packet_014_results.json
